dyad,proposer,responder,condition,type_trial,session,offer,experience
TSF,Sandra,Frodo,consecutive,first,11,0.5,1
TSF,Sandra,Frodo,consecutive,first,15,0.375,1
TSF,Tai,Frodo,consecutive,first,1,0.0625,1
TSF,Tai,Frodo,consecutive,first,5,0.0625,1
TSF,Tai,Frodo,consecutive,first,9,0.0625,1
TSF,Tai,Frodo,consecutive,first,13,0.1875,1
AFT,Frodo,Azibo,consecutive,second,2,0,2
AFT,Frodo,Azibo,consecutive,second,6,0.1875,2
AFT,Frodo,Azibo,consecutive,second,10,0.3125,2
AFT,Frodo,Azibo,consecutive,second,14,0.4375,2
AFT,Tai,Azibo,consecutive,second,4,0.1875,3
AFT,Tai,Azibo,consecutive,second,8,0.5,3
AFT,Tai,Azibo,consecutive,second,12,0.3125,3
AFT,Tai,Azibo,consecutive,second,16,0.4375,3
ARD,Azibo,Dorien,consecutive,second,4,1,1
ARD,Azibo,Dorien,consecutive,second,8,1,1
ARD,Azibo,Dorien,consecutive,second,12,0.9375,1
ARD,Riet,Dorien,consecutive,second,2,0,1
ARD,Riet,Dorien,consecutive,second,6,0.625,1
ARD,Riet,Dorien,consecutive,second,10,0.375,1
ARD,Riet,Dorien,consecutive,second,14,0.8125,1
FRS,Frodo,Shanga,consecutive,second,4,1,1
FRS,Frodo,Shanga,consecutive,second,8,0.1875,1
FRS,Frodo,Shanga,consecutive,second,12,0.125,1
FRS,Frodo,Shanga,consecutive,second,16,0.125,1
FRS,Riet,Shanga,consecutive,second,2,0,2
FRS,Riet,Shanga,consecutive,second,6,0,2
FRS,Riet,Shanga,consecutive,second,10,0.5,2
FRS,Riet,Shanga,consecutive,second,14,0,2
FSR,Frodo,Riet,consecutive,second,3,0.4375,3
FSR,Frodo,Riet,consecutive,second,7,0,3
FSR,Frodo,Riet,consecutive,second,11,0.1875,3
FSR,Frodo,Riet,consecutive,second,15,0.1875,3
FSR,Sandra,Riet,consecutive,second,1,0.5,3
FSR,Sandra,Riet,consecutive,second,5,0.4375,3
FSR,Sandra,Riet,consecutive,second,9,0.4375,3
FSR,Sandra,Riet,consecutive,second,13,0.3125,3
RST,Riet,Sandra,consecutive,second,1,0.4375,3
RST,Riet,Sandra,consecutive,second,5,0.625,3
RST,Riet,Sandra,consecutive,second,9,0.4375,3
RST,Riet,Sandra,consecutive,second,13,0.6875,3
RST,Tai,Sandra,consecutive,second,3,0.0625,2
RST,Tai,Sandra,consecutive,second,7,0.25,2
RST,Tai,Sandra,consecutive,second,11,0.25,2
RST,Tai,Sandra,consecutive,second,15,0.1875,2
SAT,Azibo,Tai,consecutive,second,3,0.375,2
SAT,Azibo,Tai,consecutive,second,7,0.25,2
SAT,Azibo,Tai,consecutive,second,11,0.5,2
SAT,Azibo,Tai,consecutive,second,15,0.375,2
SAT,Sandra,Tai,consecutive,second,1,0.3125,2
SAT,Sandra,Tai,consecutive,second,5,0.375,2
SAT,Sandra,Tai,consecutive,second,9,0.625,2
SAT,Sandra,Tai,consecutive,second,13,0.5,2
TSF,Sandra,Frodo,consecutive,second,1,0.0625,1
TSF,Sandra,Frodo,consecutive,second,5,0,1
TSF,Sandra,Frodo,consecutive,second,9,0.25,1
TSF,Sandra,Frodo,consecutive,second,13,0.3125,1
TSF,Tai,Frodo,consecutive,second,3,0,1
TSF,Tai,Frodo,consecutive,second,7,0.125,1
TSF,Tai,Frodo,consecutive,second,11,0,1
TSF,Tai,Frodo,consecutive,second,15,0.25,1
AFT,Frodo,Azibo,consecutive,first,2,0.25,2
AFT,Frodo,Azibo,consecutive,first,6,0.1875,2
AFT,Frodo,Azibo,consecutive,first,10,0.1875,2
AFT,Frodo,Azibo,consecutive,first,14,0.375,2
AFT,Tai,Azibo,consecutive,first,4,0.4375,3
AFT,Tai,Azibo,consecutive,first,8,0.4375,3
AFT,Tai,Azibo,consecutive,first,12,0.4375,3
AFT,Tai,Azibo,consecutive,first,16,0.625,3
ARD,Azibo,Dorien,consecutive,first,4,0.9375,1
ARD,Azibo,Dorien,consecutive,first,8,1,1
ARD,Azibo,Dorien,consecutive,first,12,0.9375,1
ARD,Riet,Dorien,consecutive,first,2,0,1
ARD,Riet,Dorien,consecutive,first,6,0.0625,1
ARD,Riet,Dorien,consecutive,first,10,0.1875,1
ARD,Riet,Dorien,consecutive,first,14,0.3125,1
FRS,Frodo,Shanga,consecutive,first,4,0.375,1
FRS,Frodo,Shanga,consecutive,first,8,0.375,1
FRS,Frodo,Shanga,consecutive,first,12,0.375,1
FRS,Frodo,Shanga,consecutive,first,16,0.3125,1
FRS,Riet,Shanga,consecutive,first,2,0.5,2
FRS,Riet,Shanga,consecutive,first,6,0,2
FRS,Riet,Shanga,consecutive,first,10,0.6875,2
FRS,Riet,Shanga,consecutive,first,14,0.125,2
FSR,Frodo,Riet,consecutive,first,3,0.3125,3
FSR,Frodo,Riet,consecutive,first,7,0.125,3
FSR,Frodo,Riet,consecutive,first,11,0.4375,3
FSR,Frodo,Riet,consecutive,first,15,0.3125,3
FSR,Sandra,Riet,consecutive,first,1,0.3125,3
FSR,Sandra,Riet,consecutive,first,5,0.375,3
FSR,Sandra,Riet,consecutive,first,9,0.3125,3
FSR,Sandra,Riet,consecutive,first,13,0.625,3
RST,Riet,Sandra,consecutive,first,1,0.375,3
RST,Riet,Sandra,consecutive,first,5,0.5,3
RST,Riet,Sandra,consecutive,first,9,0.5625,3
RST,Riet,Sandra,consecutive,first,13,0.3125,3
RST,Tai,Sandra,consecutive,first,3,0.0625,2
